epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.105,1.26065,2.63226,1.58805,0.76851,0.10414,0.29668,0.17053,1.63453,3.22035,2.15344,0.000542744,0.000542744,0.000542744
2,123.744,1.31796,2.16125,1.63297,0.43784,0.29508,0.24626,0.14365,2.07,3.23069,2.88416,0.00109297,0.00109297,0.00109297
3,138.861,1.35664,2.02777,1.65092,0.49011,0.36889,0.39224,0.20505,1.89708,3.14852,2.57836,0.0016377,0.0016377,0.0016377
4,153.069,1.36283,1.93662,1.64519,0.29408,0.22221,0.25427,0.16502,2.01625,9.6103,3.07891,0.00164225,0.00164225,0.00164225
5,167.681,1.36459,1.90067,1.6679,0.12442,0.28226,0.16185,0.09153,1.89712,7.62256,2.7193,0.00163399,0.00163399,0.00163399
6,182.538,1.36769,1.79905,1.66253,0.52305,0.39185,0.41518,0.23576,1.92864,2.47582,2.57528,0.00162574,0.00162574,0.00162574
7,197.008,1.36806,1.7567,1.67589,0.31412,0.41532,0.37982,0.24516,1.96368,2.81656,2.59731,0.00161749,0.00161749,0.00161749
8,211.832,1.33015,1.64369,1.63578,0.55498,0.53405,0.5159,0.29635,1.77692,2.50854,2.38398,0.00160924,0.00160924,0.00160924
9,226.33,1.3027,1.63322,1.61584,0.46707,0.41788,0.47591,0.27614,1.76697,2.66661,2.55016,0.00160099,0.00160099,0.00160099
10,241.858,1.28127,1.51737,1.5971,0.5269,0.43854,0.4572,0.28849,1.7961,2.28931,2.3841,0.00159274,0.00159274,0.00159274
11,256.858,1.27324,1.53548,1.5784,0.76982,0.45089,0.52313,0.31113,1.84154,2.24961,2.41698,0.00158448,0.00158448,0.00158448
12,271.778,1.26806,1.45875,1.58649,0.59228,0.4447,0.50849,0.30594,1.81307,2.00981,2.3885,0.00157623,0.00157623,0.00157623
13,286.545,1.24702,1.41189,1.56577,0.603,0.62543,0.57776,0.35509,1.56166,1.95017,2.21435,0.00156798,0.00156798,0.00156798
14,301.686,1.22587,1.39592,1.53354,0.59309,0.53427,0.56356,0.3465,1.67588,2.04434,2.34464,0.00155973,0.00155973,0.00155973
15,315.639,1.22974,1.42804,1.56825,0.74015,0.42756,0.52774,0.29916,1.98321,2.28336,2.77999,0.00155148,0.00155148,0.00155148
16,330.29,1.23631,1.37976,1.57234,0.69439,0.56005,0.62301,0.35864,1.76098,1.77533,2.38058,0.00154323,0.00154323,0.00154323
17,345.29,1.21573,1.31783,1.52669,0.60435,0.6263,0.63265,0.38441,1.62337,1.69928,2.24245,0.00153497,0.00153497,0.00153497
18,359.249,1.18324,1.28471,1.49306,0.5695,0.67094,0.62476,0.36721,1.73794,1.88617,2.43238,0.00152672,0.00152672,0.00152672
19,373.853,1.16044,1.25093,1.48663,0.74273,0.5579,0.61813,0.37585,1.73898,2.07224,2.49363,0.00151847,0.00151847,0.00151847
20,388.542,1.17411,1.29627,1.51257,0.71887,0.53736,0.61981,0.37704,1.62482,2.05542,2.2716,0.00151022,0.00151022,0.00151022
21,403.435,1.18888,1.26798,1.51828,0.69675,0.61993,0.67522,0.42342,1.59378,1.62042,2.20109,0.00150197,0.00150197,0.00150197
22,417.913,1.18175,1.23636,1.52001,0.65668,0.56215,0.61461,0.38122,1.60195,1.7458,2.21057,0.00149372,0.00149372,0.00149372
23,432.372,1.14003,1.18712,1.48353,0.62407,0.66215,0.63562,0.40541,1.60682,1.748,2.18206,0.00148546,0.00148546,0.00148546
24,447.518,1.13832,1.17894,1.46939,0.58889,0.66935,0.6293,0.3855,1.58298,1.91693,2.21886,0.00147721,0.00147721,0.00147721
25,461.416,1.12864,1.15471,1.45158,0.70996,0.56521,0.62469,0.38917,1.5751,1.90655,2.21564,0.00146896,0.00146896,0.00146896
26,476.032,1.11743,1.18414,1.4696,0.78161,0.61276,0.70973,0.42885,1.59115,1.74487,2.23548,0.00146071,0.00146071,0.00146071
27,490.873,1.12189,1.14275,1.46007,0.69107,0.6443,0.69921,0.44446,1.52026,1.61905,2.1624,0.00145246,0.00145246,0.00145246
28,505.99,1.13344,1.14503,1.46124,0.8159,0.62231,0.71284,0.46305,1.51095,1.72167,2.14493,0.00144421,0.00144421,0.00144421
29,520.578,1.08131,1.12193,1.43801,0.64166,0.69326,0.65765,0.42065,1.59719,1.83368,2.19629,0.00143595,0.00143595,0.00143595
30,535.7,1.10672,1.16934,1.46955,0.73158,0.67828,0.72861,0.44962,1.5902,1.56815,2.22305,0.0014277,0.0014277,0.0014277
31,550.811,1.13946,1.18354,1.48956,0.7866,0.65769,0.69918,0.43782,1.74202,1.59086,2.40596,0.00141945,0.00141945,0.00141945
32,565.378,1.07125,1.10911,1.41621,0.78232,0.62793,0.69203,0.45452,1.52805,1.58491,2.12438,0.0014112,0.0014112,0.0014112
33,580.599,1.09153,1.07838,1.45274,0.73613,0.63983,0.69231,0.44206,1.58559,1.58046,2.22539,0.00140295,0.00140295,0.00140295
34,596.004,1.09023,1.06051,1.43351,0.73765,0.69774,0.75342,0.47663,1.47932,1.4552,2.06649,0.0013947,0.0013947,0.0013947
35,610.691,1.08782,1.09553,1.42345,0.72428,0.67728,0.71152,0.47587,1.39726,1.5093,2.0089,0.00138644,0.00138644,0.00138644
